student_id,gender,study_mode,subject,attendance,study_hours,internal_marks,participation,previous_score,assignment_completion,weak_subjects,final_score,performance_level
STU1001,Female,Online,English,77.3,4.3,57.8,5.5,83.2,35.9,1,73.4,Average
STU1002,Male,Classroom,Computer Science,69.2,2.2,53.6,5.0,75.9,23.8,2,58.1,Average
STU1003,Female,Blended,Mathematics,73.0,4.9,65.1,7.5,92.6,35.9,2,86.1,High
STU1004,Female,Blended,English,85.6,5.2,64.4,7.1,46.9,48.4,3,78.0,High
STU1005,Male,Blended,Mathematics,78.0,0.9,48.7,3.4,63.6,22.0,0,50.1,Average
STU1006,Female,Blended,Mathematics,82.1,1.8,46.6,9.0,61.0,20.0,3,66.4,Average
STU1007,Other,Blended,Social Science,86.0,4.0,40.8,6.3,41.3,25.4,1,57.1,Average
STU1008,Female,Classroom,Science,73.5,3.3,53.8,4.1,80.8,35.3,0,65.3,Average
STU1009,Female,Classroom,English,87.1,3.8,48.8,9.1,63.5,32.6,1,77.8,High
STU1010,Female,Blended,Science,82.5,2.5,62.2,7.9,76.6,33.8,2,74.3,Average
STU1011,Male,Blended,Science,63.2,5.1,61.1,3.7,97.7,45.1,0,80.2,High
STU1012,Male,Classroom,Science,95.3,5.0,61.0,10.0,62.4,36.8,2,85.8,High
STU1013,Female,Classroom,Science,72.0,3.9,55.5,7.9,61.5,25.1,3,69.4,Average
STU1014,Female,Classroom,Computer Science,58.1,5.5,64.8,6.5,68.5,54.6,1,84.1,High
STU1015,Male,Classroom,Social Science,65.5,4.5,61.9,10.0,79.8,42.1,0,93.3,High
STU1016,Male,Classroom,English,65.7,2.5,43.8,6.9,59.6,24.5,1,58.9,Average
STU1017,Female,Classroom,Social Science,78.6,4.4,59.8,6.4,58.8,31.7,3,82.2,High
STU1018,Female,Classroom,Computer Science,74.7,2.4,56.8,5.0,80.7,23.7,0,74.4,Average
STU1019,Female,Blended,Computer Science,74.0,5.1,54.7,7.8,71.9,33.3,2,78.8,High
STU1020,Female,Blended,Science,85.4,3.7,44.0,7.5,40.4,44.8,2,68.4,Average
STU1021,Male,Blended,Mathematics,82.1,3.5,46.6,6.5,51.1,29.4,2,67.3,Average
STU1022,Other,Blended,Social Science,81.8,2.8,55.9,4.8,86.5,39.7,0,84.5,High
STU1023,Other,Classroom,English,82.9,5.6,48.3,6.8,72.2,43.3,1,84.0,High
STU1024,Male,Classroom,Science,85.4,3.6,36.8,6.3,57.1,28.0,3,68.6,Average
STU1025,Female,Blended,Computer Science,52.7,3.2,35.1,3.6,64.8,23.6,0,59.8,Average
STU1026,Other,Blended,Science,73.6,3.3,37.7,3.3,67.2,20.0,2,68.4,Average
STU1027,Female,Blended,Computer Science,51.8,4.6,50.2,7.7,76.6,35.2,1,87.8,High
STU1028,Female,Blended,Science,78.4,4.3,42.2,1.0,49.3,35.0,1,62.5,Average
STU1029,Male,Blended,Social Science,77.9,4.4,47.9,7.0,56.1,46.2,3,70.7,Average
STU1030,Female,Blended,Science,90.5,4.4,54.9,5.4,70.5,26.2,0,85.1,High
STU1031,Male,Blended,Mathematics,92.3,7.0,55.0,9.4,65.7,65.7,1,100.0,High
STU1032,Other,Blended,Computer Science,80.4,3.2,47.6,5.4,74.4,39.7,3,78.3,High
STU1033,Male,Classroom,Mathematics,72.0,3.0,49.2,8.0,51.0,42.1,4,63.0,Average
STU1034,Male,Classroom,Social Science,83.8,2.6,53.4,5.6,71.6,30.4,2,65.5,Average
STU1035,Female,Classroom,Computer Science,71.7,4.7,52.5,6.8,81.2,48.0,1,82.4,High
STU1036,Female,Blended,Science,78.0,5.5,60.4,,73.3,33.8,0,85.7,High
STU1037,Male,Blended,Mathematics,89.8,3.6,66.5,5.5,68.8,42.8,1,83.0,High
STU1038,Male,Classroom,Social Science,71.3,2.5,50.1,8.7,65.8,23.7,3,61.0,Average
STU1039,Male,Classroom,Computer Science,87.7,2.6,37.4,4.3,56.1,20.0,1,65.7,Average
STU1040,Female,Blended,Social Science,86.1,4.8,53.5,7.1,66.1,34.0,2,73.1,Average
STU1041,Female,Classroom,Mathematics,66.5,4.9,61.4,8.5,83.4,40.9,3,86.9,High
STU1042,Female,Blended,Social Science,89.7,4.6,54.7,8.0,65.5,36.6,1,91.6,High
STU1043,Male,Classroom,English,86.4,2.8,50.7,10.0,55.4,37.6,1,62.2,Average
STU1044,Male,Classroom,Computer Science,79.2,4.1,37.0,,60.6,22.9,0,82.3,High
STU1045,Other,Classroom,Science,68.9,4.0,39.8,3.5,69.6,20.0,2,61.2,Average
STU1046,Female,Classroom,Mathematics,67.7,4.1,44.4,4.3,62.1,46.0,2,68.3,Average
STU1047,Male,Classroom,Social Science,71.5,5.1,56.3,8.0,73.3,49.6,2,89.3,High
STU1048,Female,Classroom,Social Science,84.5,4.1,52.5,7.6,73.8,31.3,1,86.4,High
STU1049,Female,Classroom,Science,66.5,4.8,54.9,6.7,78.6,39.4,2,83.2,High
STU1050,Female,Classroom,Social Science,83.3,3.9,55.0,4.0,85.5,44.7,1,85.5,High
STU1051,Male,Blended,Mathematics,63.1,4.2,63.4,8.2,79.9,40.0,0,90.7,High
STU1052,Male,Classroom,Mathematics,75.6,4.7,43.7,3.8,54.9,40.4,1,80.9,High
STU1053,Female,Classroom,Mathematics,79.3,1.6,48.8,9.0,55.3,35.6,1,68.7,Average
